2*a2*a4, a2*a4
-a2*a4, -2*a2*a4
a2*a3*a4, -a2*a3*a4
-2*a2^2*a4, -a2^2*a4
a2^2*a4, 2*a2^2*a4
a2*a4, -a2*a4
-a1*a2*a4, a1*a2*a4
a2*a4^2, 2*a2*a4^2
2*a1^2*a3, a1^2*a3
-a1^2*a3, a1^2*a3
-a1*a3*a4, a1*a3*a4
-a1*a3, a1*a3
2*a1*a3, a1*a3
-a1*a2*a3, a1*a2*a3
a1*a3^2, 2*a1*a3^2
-a3^3 + a3^2, -a3^3 + a3^2
a3^3 - a3^2, 0
a1^3 - a1^2, a1^3 - a1^2
-a1^3 + a1^2, 0
a2*a3^2 - a2*a3, 0
-a2*a3^2 + a2*a3, -a2*a3^2 + a2*a3
-a1^2*a4 + a1*a4, 0
a1^2*a4 - a1*a4, a1^2*a4 - a1*a4
a3^2 - a3, 0
0, a3^2 - a3
0, -a1*a3^2 + a1*a3
a1*a3^2 - a1*a3, a1*a3^2 - a1*a3
-a3^2*a4 + a3*a4, 0
a3^2*a4 - a3*a4, a3^2*a4 - a3*a4
-a1^2 + a1, 0
0, -a1^2 + a1
-a1^2*a3 + a1*a3, -a1^2*a3 + a1*a3
a1^2*a3 - a1*a3, 0
a1^2*a2 - a1*a2, 0
-a1^2*a2 + a1*a2, -a1^2*a2 + a1*a2
-a2^2 + a2, 0
a2^2 - a2, a2^2 - a2
a4^2 - a4, 0
-a4^2 + a4, -a4^2 + a4
0, a2*a3^2 - a2*a3
0, -a1^2*a4 + a1*a4
-a3^2 + a3, -a3^2 + a3
a1^2 - a1, a1^2 - a1
0, -a2^2*a3 + a2*a3
a2^2*a3 - a2*a3, a2^2*a3 - a2*a3
0, a1*a4^2 - a1*a4
-a1*a4^2 + a1*a4, -a1*a4^2 + a1*a4
0, -a2^3 + a2^2
-a2^3 + a2^2, 0
0, a4^3 - a4^2
a4^3 - a4^2, 0
0, a1*a2^2 - a1*a2
-a1*a2^2 + a1*a2, -a1*a2^2 + a1*a2
0, a2^2*a4 - a2*a4
a2^2*a4 - a2*a4, 0
0, -a3*a4^2 + a3*a4
a3*a4^2 - a3*a4, a3*a4^2 - a3*a4
-a2*a4^2 + a2*a4, 0
a2*a4^2 - a2*a4, a2*a4^2 - a2*a4
0, -a2^2 + a2
0, a4^2 - a4
-a2^2*a3 + a2*a3, 0
a1*a4^2 - a1*a4, 0
a2^3 - a2^2, a2^3 - a2^2
-a4^3 + a4^2, -a4^3 + a4^2
